Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID2,Reference
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_8206,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_8870,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_16324,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_16605,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_16906,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_17094,--
Pseudomonas fluorescens,CP000094,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_18590,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_19581,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_19657,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_22089,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_22163,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_23333,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_23761,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_23833,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_25303,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_25975,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_26967,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_27382,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28228,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28535,--
Pseudomonas fluorescens,CP000094,77,39,19,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28725,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28788,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_29924,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_30046,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_30994,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_31194,--
Pseudomonas fluorescens,CP000094,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_31591,--
Pseudomonas fluorescens,CP000094,75,31,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_32009,--
Pseudomonas fluorescens,CP000094,75,31,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_32488,--
Pseudomonas fluorescens,CP000094,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_33257,--
Pseudomonas gingeri,AF127584,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_1098,--
Pseudomonas gingeri,AF127583,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_3946,--
Pseudomonas gingeri,AF127583,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_21625,--
Pseudomonas gingeri,AF127584,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_21900,--
Pseudomonas mendocina,L28162,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_621,--
Pseudomonas mendocina,L28160,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_1113,--
Pseudomonas mendocina,L28159,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_2053,--
Pseudomonas mendocina,L28162,76,34,21,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_tRNA_N_21372,--
Pseudomonas mendocina,L28160,76,34,21,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_tRNA_N_21753,--
Pseudomonas mendocina,L28159,76,34,21,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_tRNA_N_22660,--
Pseudomonas mendocina,L28161,76,34,21,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_tRNA_N_22723,--
Pseudomonas phage,AF165214,75,31,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28992,--
Pseudomonas pseudoalcaligenes,AJ279245,75,33,21,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_3535,--
Pseudomonas pseudoalcaligenes,AJ279245,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_22496,--
Pseudomonas putida,AJ617740,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_17746,--
Pseudomonas putida,AJ004950,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_18103,--
Pseudomonas reactans,AF127580,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_2482,--
