Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID2,Reference
Lepyrodontopsis trichophylla,AY306775,49,29,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15073,--
Lescuraea incurvata,AY683595,69,47,11,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_tRNA_N_15689,--
Lescuraea mutabilis,AY683601,19,19,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_10935,--
Lescuraea patens,AY683577,19,19,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_10902,--
Lescuraea radicosa,AY683570,19,19,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_14808,--
Lescuraea saxicola,AY683569,19,19,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_14447,--
Lescuraea secunda,AY683576,19,19,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_12412,--
Leskea gracilescens,AF161135,61,41,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13030,--
Leskea polycarpa,AF397810,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_9068,--
Leskea polycarpa,AY527134,15,15,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_11296,--
Leskeodon auratus,AY306776,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12917,--
Leskeodon cubensis,AF161165,23,23,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_10547,--
Lethedon sp.,AJ308654,47,27,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_9921,--
Leucaena leucocephala,AF524962,42,34,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_19932,--
Leucodon andrewsianus,AF161098,61,41,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_9575,--
Leucodon brachypus,AF161097,61,41,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13563,--
Leucodon sciuroides,AF397786,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13370,--
Leucojum aestivum,AY357135,9,9,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_13923,--
Leucolepis menziesii,AF215902,54,34,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15437,--
Leucoloma humbertii,AF231253,50,30,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11794,--
Leucoloma rutenbergii,AF231254,50,30,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15939,--
Leucoloma serrulatum,AF231255,50,30,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14565,--
Leucomium steerei,AY449673,54,34,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15361,--
Leucomium strumosum,AF161161,54,34,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12788,--
Leucomium strumosum,AY306777,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14229,--
Leuconostoc lactis,Z75492,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_298,--
Leuconostoc mesenteroides,Z75485,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_4475,--
Leuconostoc mesenteroides,Z75494,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_947,--
Leuconostoc mesenteroides,Z75488,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_1396,--
Leuconostoc mesenteroides,DQ787122,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_300,--
Leuconostoc mesenteroides,CP000414,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_870,--
Leuconostoc mesenteroides,CP000414,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_885,--
Leuconostoc mesenteroides,CP000414,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_2373,--
Leuconostoc mesenteroides,CP000414,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_3090,--
Leuconostoc mesenteroides,CP000414,71,27,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_4774,--
Leuconostoc mesenteroides,CP000414,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_6172,--
Leuconostoc mesenteroides,CP000414,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_6399,--
Leuconostoc mesenteroides,CP000414,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_6447,--
Leuconostoc mesenteroides,CP000414,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_7129,--
Leuconostoc mesenteroides,CP000414,75,31,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_7431,--
Leuconostoc mesenteroides,CP000414,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_13033,--
Leuconostoc mesenteroides,CP000414,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_14601,--
Leuconostoc mesenteroides,CP000414,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_16295,--
Leuconostoc mesenteroides,CP000414,71,27,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_17628,--
Leuconostoc mesenteroides,CP000414,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_17766,--
Leuconostoc mesenteroides,CP000414,71,27,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_18513,--
Leuconostoc mesenteroides,CP000414,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_23239,--
Leuconostoc mesenteroides,CP000414,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_24539,--
Leuconostoc mesenteroides,CP000414,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_25438,--
Leuconostoc mesenteroides,CP000414,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_25996,--
Leuconostoc mesenteroides,CP000414,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_26943,--
Leuconostoc mesenteroides,CP000414,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28379,--
Leuconostoc mesenteroides,CP000414,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28461,--
