Organism name,Accession number,Length,Number of decoupled nucleotides,Number of weak bonds,Is Pseudoknotted,Pseudoknot order,Rna Type,Genus,Core,Core plus,Shape,Is Validated,Reference database,Description,Benchmark ID2,Reference
California macrophylla,DQ072013,35,23,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15715,--
Calla palustris,AY555174,46,26,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_10124,--
Calliandra juzepczukii,AF522948,30,22,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_12186,--
Calliandra juzepczukii,AF524959,54,34,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_20150,--
Calliandra longipedicellata,AF532164,46,28,9,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_20189,--
Calliandra surinamensis,AF532165,54,36,9,No,0,tRNA,0,()(),()(()),--,No,CRW,--,CRW_tRNA_N_20493,--
Callicostella diatomophila,AY306704,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12688,--
Callicostellopsis meridensis,AY306705,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14154,--
Calliergon cordifolium,AY009836,58,38,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11209,--
Calliergon giganteum,AY009834,57,37,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_10158,--
Calliergonella cuspidata,AY009859,24,24,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_12891,--
Calliergonella lindbergii,AF315069,64,44,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11941,--
Calopsis burchellii,AY690782,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13861,--
Calopsis dura,AY881606,31,23,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_9975,--
Calopsis hyalina,AF175189,17,17,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_12105,--
Calopsis muirii,AY881607,31,23,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_9551,--
Calopsis paniculata,AF175188,30,22,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_9658,--
Calopsis viminea,AY690783,39,29,5,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13316,--
Calorophus elongatus,AF148725,48,28,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_16042,--
Calothrix parietina,AF236642,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_2383,--
Calothrix parietina,AF236642,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_23497,--
Calycanthus floridus,AJ428413,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_761,--
Calycanthus floridus,AJ428413,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_3358,--
Calycanthus floridus,AJ428413,71,27,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_4820,--
Calycanthus floridus,AJ428413,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_5371,--
Calycanthus floridus,AJ428413,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_8519,--
Calycanthus floridus,AJ428413,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_13641,--
Calycanthus floridus,AJ428413,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_16986,--
Calycanthus floridus,AJ428413,71,27,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_17630,--
Calycanthus floridus,AJ428413,78,34,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_19170,--
Calycanthus floridus,AJ428413,74,30,22,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_tRNA_N_21982,--
Calycanthus floridus,AJ428413,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_22438,--
Calycanthus floridus,AJ428413,74,30,22,No,0,tRNA,0,(()()()),(()(())()),--,No,CRW,--,CRW_tRNA_N_24580,--
Calycanthus floridus,AJ428413,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_24985,--
Calycanthus floridus,AJ428413,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28491,--
Calycanthus floridus,AJ428413,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_28684,--
Calycanthus floridus,AJ428413,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_29593,--
Calycanthus floridus,AJ428413,72,28,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_29783,--
Calycanthus floridus,AJ428413,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_31064,--
Calycanthus floridus,AJ428413,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_32141,--
Calycanthus floridus,AJ428413,74,30,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_33429,--
Calycobolus glaber,AY101141,48,28,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_9206,--
Calycobolus nutans,AY101135,48,28,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14159,--
Calycophyllum candidissimum,DQ359164,48,28,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11842,--
Calypogeia integristipula,AY463550,51,31,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11635,--
Calypogeia muelleriana,AY463551,51,31,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11186,--
Calyptocarpus vialis,AY216282,35,25,5,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_3743,--
Calyptocarpus vialis,AY216149,15,15,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_9009,--
Calyptrochaeta brownii,AY306707,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15277,--
Calyptrochaeta japonica,AY306708,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11641,--
Calyptrotheca somalensis,AF094845,50,30,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_8778,--
Calystegia macrostegia,AY101100,29,21,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_15868,--
Calystegia sepium,AY101101,30,22,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_14374,--
Camellia sinensis,AJ430893,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_10635,--
Camellia sinensis,AJ429661,73,29,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_27191,--
Campanula elatines,AJ430970,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13079,--
Campanula elatines,AJ430391,33,25,4,No,0,tRNA,0,(),(),--,No,CRW,--,CRW_tRNA_N_27378,--
Campanula lasiocarpa,AB003734,52,32,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12988,--
Campanula lasiocarpa,AB219602,19,19,0,No,0,tRNA,0,--,--,--,No,CRW,--,CRW_tRNA_N_14503,--
Campanula lasiocarpa,AB003733,52,32,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_15371,--
Camptochaete aciphylla,AY306709,49,29,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_11263,--
Camptochaete arbuscula,AY306768,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_8871,--
Camptochaete pulvinata,AY306710,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_10647,--
Camptochaete vaga,AY306711,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12020,--
Camptorrhiza strumosa,AJ551350,43,31,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13396,--
Camptothecium lutescens,AF397827,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_9697,--
Campylium chrysophyllum,AY009831,68,44,12,No,0,tRNA,0,()()(),()()(),--,No,CRW,--,CRW_tRNA_N_14626,--
Campylium halleri,AY009853,53,33,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_14737,--
Campylium hispidulum,AY009866,54,34,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12626,--
Campylium stellatum,AF397821,40,28,6,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_12855,--
Campylium stellatum,AY009832,60,40,10,No,0,tRNA,0,()(),()(),--,No,CRW,--,CRW_tRNA_N_13315,--
Campylobacter coli,AF074839,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_39,--
Campylobacter coli,AF146727,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_462,--
Campylobacter coli,AF146727.1,76,32,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_904,--
Campylobacter coli,AF074840,77,33,22,No,0,tRNA,0,(()()()),(()()()),--,No,CRW,--,CRW_tRNA_N_1441,--
