Molecola1,Molecola2, EditDistance
HOTAIR,CRW2_16S_E_698_nH.db,30.099009900990104
HOTAIR,CRW2_16S_E_708_nH.db,28.07308970099668
HOTAIR,CRW2_16S_E_775_nH.db,28.75226039783002
HOTAIR,CRW2_23S_A_17_nH.db,10.217560217560218
HOTAIR,CRW2_23S_A_18_nH.db,12.633305988515175
HOTAIR,CRW2_23S_A_19_nH.db,16.133651551312646
HOTAIR,CRW2_23S_A_1_nH.db,10.170807453416153
HOTAIR,CRW2_23S_A_20_nH.db,12.515387771850639
HOTAIR,CRW2_23S_A_21_nH.db,16.09966459032104
HOTAIR,CRW2_23S_A_22_nH.db,12.371557747636663
HOTAIR,CRW2_23S_A_23_nH.db,10.288386593920496
HOTAIR,CRW2_23S_A_24_nH.db,16.09029779058597
HOTAIR,CRW2_23S_A_25_nH.db,10.238374364986324
HOTAIR,CRW2_23S_A_29_nH.db,12.2
HOTAIR,CRW2_23S_A_30_nH.db,9.827456864216055
HOTAIR,CRW2_23S_A_31_nH.db,15.649743828598039
HOTAIR,CRW2_23S_A_32_nH.db,10.335518704203627
HOTAIR,CRW2_23S_A_33_nH.db,16.18414807783578
HOTAIR,CRW2_23S_A_34_nH.db,9.828101644245146
HOTAIR,CRW2_23S_A_35_nH.db,12.317666126418148
HOTAIR,CRW2_23S_A_37_nH.db,16.35220125786163
HOTAIR,CRW2_23S_A_39_nH.db,12.406947890818854
HOTAIR,CRW2_23S_A_3_nH.db,8.32081706218083
HOTAIR,CRW2_23S_A_40_nH.db,10.384012539184951
HOTAIR,CRW2_23S_A_41_nH.db,11.907606531262449
HOTAIR,CRW2_23S_A_42_nH.db,9.853328318916887
HOTAIR,CRW2_23S_A_44_nH.db,9.732540861812778
HOTAIR,CRW2_23S_A_47_nH.db,9.902108433734934
HOTAIR,CRW2_23S_A_48_nH.db,11.818543573418228
HOTAIR,CRW2_23S_A_4_nH.db,9.538850284270373
HOTAIR,CRW2_23S_A_5_nH.db,10.384012539184951
HOTAIR,CRW2_23S_A_6_nH.db,12.638946068340884
HOTAIR,CRW2_23S_A_7_nH.db,16.19413743392599
HOTAIR,CRW2_23S_B_101_nH.db,16.487279843444224
HOTAIR,CRW2_23S_B_105_nH.db,16.487279843444224
HOTAIR,CRW2_23S_B_109_nH.db,11.871784724970325
HOTAIR,CRW2_23S_B_110_nH.db,15.626444752658342
HOTAIR,CRW2_23S_B_111_nH.db,9.757914338919926
HOTAIR,CRW2_23S_B_115_nH.db,16.265356265356267
HOTAIR,CRW2_23S_B_118_nH.db,12.26765799256505
HOTAIR,CRW2_23S_B_119_nH.db,10.094637223974768
HOTAIR,CRW2_23S_B_120_nH.db,15.81237911025145
HOTAIR,CRW2_23S_B_121_nH.db,15.81947743467933
HOTAIR,CRW2_23S_B_122_nH.db,11.867152693398141
HOTAIR,CRW2_23S_B_127_nH.db,10.276372129233168
HOTAIR,CRW2_23S_B_128_nH.db,12.059894779441526
HOTAIR,CRW2_23S_B_129_nH.db,16.034155597722965
HOTAIR,CRW2_23S_B_133_nH.db,16.798810703667
HOTAIR,CRW2_23S_B_148_nH.db,12.385321100917434
HOTAIR,CRW2_23S_B_149_nH.db,10.455445544554454
HOTAIR,CRW2_23S_B_150_nH.db,16.23598244758654
HOTAIR,CRW2_23S_B_151_nH.db,15.71232249198351
HOTAIR,CRW2_23S_B_152_nH.db,9.783008458992281
HOTAIR,CRW2_23S_B_153_nH.db,11.780821917808215
HOTAIR,CRW2_23S_B_154_nH.db,10.363707469691041
HOTAIR,CRW2_23S_B_155_nH.db,16.354016354016355
HOTAIR,CRW2_23S_B_156_nH.db,9.9696739954511
HOTAIR,CRW2_23S_B_157_nH.db,12.16216216216216
HOTAIR,CRW2_23S_B_158_nH.db,12.20789685737309
HOTAIR,CRW2_23S_B_159_nH.db,15.984955336154204
HOTAIR,CRW2_23S_B_163_nH.db,10.179869881362414
HOTAIR,CRW2_23S_B_164_nH.db,15.79683131407269
HOTAIR,CRW2_23S_B_165_nH.db,12.113918973124749
HOTAIR,CRW2_23S_B_187_nH.db,9.62586269524155
HOTAIR,CRW2_23S_B_188_nH.db,15.388086642599275
HOTAIR,CRW2_23S_B_189_nH.db,11.680248350795496
HOTAIR,CRW2_23S_B_193_nH.db,15.763787213274771
HOTAIR,CRW2_23S_B_194_nH.db,12.140175219023774
HOTAIR,CRW2_23S_B_195_nH.db,10.031720856463123
HOTAIR,CRW2_23S_B_199_nH.db,9.628561125135239
HOTAIR,CRW2_23S_B_200_nH.db,11.701308698999235
HOTAIR,CRW2_23S_B_201_nH.db,15.037929495760816
HOTAIR,CRW2_23S_B_208_nH.db,10.357815442561202
HOTAIR,CRW2_23S_B_209_nH.db,11.894446632532496
HOTAIR,CRW2_23S_B_210_nH.db,15.646571560055222
HOTAIR,CRW2_23S_B_238_nH.db,10.515873015873012
HOTAIR,CRW2_23S_B_239_nH.db,16.480311132717553
HOTAIR,CRW2_23S_B_240_nH.db,12.391214256112725
HOTAIR,CRW2_23S_B_241_nH.db,15.40198735320687
HOTAIR,CRW2_23S_B_242_nH.db,9.68681718863802
HOTAIR,CRW2_23S_B_243_nH.db,11.705426356589143
HOTAIR,CRW2_23S_B_250_nH.db,9.671532846715325
HOTAIR,CRW2_23S_B_251_nH.db,11.684782608695654
HOTAIR,CRW2_23S_B_252_nH.db,15.426497277676955
HOTAIR,CRW2_23S_B_253_nH.db,15.96199524940618
HOTAIR,CRW2_23S_B_254_nH.db,12.069663831510734
HOTAIR,CRW2_23S_B_255_nH.db,10.307273434461294
HOTAIR,CRW2_23S_B_260_nH.db,16.43835616438356
HOTAIR,CRW2_23S_B_261_nH.db,10.628980891719742
HOTAIR,CRW2_23S_B_262_nH.db,12.416666666666664
HOTAIR,CRW2_23S_B_263_nH.db,10.243328100470961
HOTAIR,CRW2_23S_B_264_nH.db,16.085271317829452
HOTAIR,CRW2_23S_B_265_nH.db,12.25753198514239
HOTAIR,CRW2_23S_B_272_nH.db,12.129934210526317
HOTAIR,CRW2_23S_B_273_nH.db,15.986557849255878
HOTAIR,CRW2_23S_B_274_nH.db,10.164190774042225
HOTAIR,CRW2_23S_B_275_nH.db,15.154224407688865
HOTAIR,CRW2_23S_B_276_nH.db,11.624326404926865
HOTAIR,CRW2_23S_B_277_nH.db,9.78021978021978
HOTAIR,CRW2_23S_B_69_nH.db,16.121152906692725
HOTAIR,CRW2_23S_B_74_nH.db,16.488326848249024
HOTAIR,CRW2_23S_B_75_nH.db,10.448947159316646
HOTAIR,CRW2_23S_B_76_nH.db,12.349772067965192
HOTAIR,CRW2_23S_B_77_nH.db,12.308963238331271
HOTAIR,CRW2_23S_B_78_nH.db,10.534716679968081
HOTAIR,CRW2_23S_B_79_nH.db,16.448326055312958
HOTAIR,CRW2_23S_B_92_nH.db,16.55437921077959
HOTAIR,CRW2_23S_B_93_nH.db,10.396233817183209
HOTAIR,CRW2_23S_B_94_nH.db,12.402464065708418
HOTAIR,CRW2_23S_B_96_nH.db,16.43835616438356
HOTAIR,CRW2_23S_B_98_nH.db,16.371681415929206
HOTAIR,CRW2_23S_E_278_nH.db,12.224039247751428
HOTAIR,CRW2_23S_E_279_nH.db,10.313725490196079
HOTAIR,CRW2_23S_E_282_nH.db,12.254901960784315
HOTAIR,CRW2_23S_E_283_nH.db,10.316529894490035
HOTAIR,CRW2_23S_E_284_nH.db,9.212376933895916
HOTAIR,CRW2_23S_E_285_nH.db,9.302325581395355
